Tip_Label,In,Aq,Vt,Ca,Ne,Fr,SETe,Herb,TrophicLevel,TrophicNiche,ForagingNiche,BLFamilyLatin,final_family
Paroreomyza_maculata,100,0,0,0,0,0,0,0,Carnivore,Invertivore,Invertivore glean arboreal,Fringillidae,Fringillidae
Parus_albiventris,80,0,0,0,0,0,20,0,Carnivore,Invertivore,Invertivore glean arboreal,Paridae,Paridae
Parus_ater,70,0,0,0,0,0,20,10,Omnivore,Invertivore,Generalist,Paridae,Paridae
Picoides_albolarvatus,80,0,0,0,0,0,20,0,Carnivore,Invertivore,Invertivore bark,Picidae,Picidae
Picoides_arcticus,80,0,0,0,0,10,10,0,Carnivore,Invertivore,Invertivore bark,Picidae,Picidae
Picoides_dorsalis,100,0,0,0,0,0,0,0,Carnivore,Invertivore,Invertivore bark,Picidae,Picidae
Picoides_nuttallii,80,0,0,0,0,10,10,0,Carnivore,Invertivore,Invertivore bark,Picidae,Picidae
Picoides_tridactylus,100,0,0,0,0,0,0,0,Carnivore,Invertivore,Invertivore bark,Picidae,Picidae
Picoides_villosus,80,0,0,0,0,10,10,0,Carnivore,Invertivore,Invertivore bark,Picidae,Picidae
Sitta_carolinensis,60,0,0,0,0,20,20,0,Omnivore,Omnivore,NA,Sittidae,Sittidae
Sitta_europaea,80,0,0,0,0,0,10,10,Carnivore,Invertivore,Invertivore bark,Sittidae,Sittidae
Sphyrapicus_nuchalis,80,0,0,0,0,10,10,0,Omnivore,Omnivore,NA,Picidae,Picidae
Sphyrapicus_thyroideus,80,0,0,0,0,20,0,0,Omnivore,Invertivore,Invertivore bark,Picidae,Picidae
Sphyrapicus_varius,80,0,0,0,0,10,10,0,Omnivore,Omnivore,NA,Picidae,Picidae
Vireo_huttoni,80,0,0,0,0,20,0,0,Carnivore,Invertivore,Invertivore glean arboreal,Vireonidae,Vireonidae
Abeillia_abeillei,10,0,0,0,90,0,0,0,Herbivore,Nectarivore,Nectarivore aerial,Trochilidae,Trochilidae
Abroscopus_albogularis,100,0,0,0,0,0,0,0,Carnivore,Invertivore,Invertivore glean arboreal,Sylviidae,Scotocercidae
Abroscopus_schisticeps,100,0,0,0,0,0,0,0,Carnivore,Invertivore,Invertivore glean arboreal,Sylviidae,Scotocercidae
Abroscopus_superciliaris,100,0,0,0,0,0,0,0,Carnivore,Invertivore,Invertivore glean arboreal,Sylviidae,Scotocercidae
Aburria_aburri,0,0,0,0,0,100,0,0,Herbivore,Frugivore,Fugivore glean,Cracidae,Cracidae
Acanthagenys_rufogularis,20,0,10,0,50,10,10,0,Herbivore,Omnivore,NA,Meliphagidae,Meliphagidae
Acanthidops_bairdii,60,0,0,0,10,10,20,0,Omnivore,Invertivore,Invertivore glean arboreal,Emberizidae,Thraupidae
Acanthisitta_chloris,90,0,0,0,0,10,0,0,Carnivore,Invertivore,Invertivore bark,Acanthisittidae,Acanthisittidae
Acanthiza_apicalis,80,0,0,0,0,10,10,0,Carnivore,Invertivore,Invertivore glean arboreal,Acanthizidae,Acanthizidae
Acanthiza_chrysorrhoa,80,0,0,0,0,0,20,0,Carnivore,Invertivore,Invertivore ground,Acanthizidae,Acanthizidae
Acanthiza_ewingii,80,0,0,0,0,0,20,0,Carnivore,Invertivore,Invertivore glean arboreal,Acanthizidae,Acanthizidae
Acanthiza_inornata,80,0,0,0,20,0,0,0,Carnivore,Invertivore,Invertivore glean arboreal,Acanthizidae,Acanthizidae
Acanthiza_iredalei,80,0,0,0,0,0,10,10,Carnivore,Invertivore,Generalist,Acanthizidae,Acanthizidae
Acanthiza_katherina,100,0,0,0,0,0,0,0,Carnivore,Invertivore,Invertivore glean arboreal,Acanthizidae,Acanthizidae
Acanthiza_lineata,60,0,0,0,20,0,20,0,Omnivore,Invertivore,Invertivore glean arboreal,Acanthizidae,Acanthizidae
Acanthiza_murina,100,0,0,0,0,0,0,0,Carnivore,Invertivore,Invertivore glean arboreal,Acanthizidae,Acanthizidae
Acanthiza_nana,80,0,0,0,0,0,20,0,Carnivore,Invertivore,Invertivore glean arboreal,Acanthizidae,Acanthizidae
Acanthiza_pusilla,70,0,0,0,10,10,10,0,Carnivore,Invertivore,Invertivore glean arboreal,Acanthizidae,Acanthizidae
Acanthiza_reguloides,80,0,0,0,10,0,10,0,Carnivore,Invertivore,Generalist,Acanthizidae,Acanthizidae
Acanthiza_robustirostris,100,0,0,0,0,0,0,0,Carnivore,Invertivore,Invertivore glean arboreal,Acanthizidae,Acanthizidae
Acanthiza_uropygialis,80,0,0,0,0,0,10,10,Carnivore,Invertivore,Invertivore glean arboreal,Acanthizidae,Acanthizidae
Acanthorhynchus_superciliosus,30,0,0,0,70,0,0,0,Herbivore,Nectarivore,Nectarivore glean,Meliphagidae,Meliphagidae
Acanthorhynchus_tenuirostris,40,0,0,0,60,0,0,0,Omnivore,Nectarivore,Nectarivore glean,Meliphagidae,Meliphagidae
Acanthornis_magna,100,0,0,0,0,0,0,0,Carnivore,Invertivore,Generalist,Acanthizidae,Acanthizidae
Accipiter_albogularis,0,0,100,0,0,0,0,0,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitridae
Accipiter_badius,10,0,90,0,0,0,0,0,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitridae
Accipiter_bicolor,0,0,100,0,0,0,0,0,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitridae
Accipiter_brachyurus,0,0,100,0,0,0,0,0,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitridae
Accipiter_brevipes,40,0,60,0,0,0,0,0,Carnivore,Vertivore,Vertivore air to surface,Accipitridae,Accipitridae
Accipiter_butleri,10,0,90,0,0,0,0,0,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitridae
Accipiter_castanilius,10,0,90,0,0,0,0,0,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitridae
Accipiter_chilensis,0,0,100,0,0,0,0,0,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitridae
Accipiter_chionogaster,0,0,100,0,0,0,0,0,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitridae
Accipiter_cirrocephalus,10,0,90,0,0,0,0,0,Carnivore,Vertivore,Generalist,Accipitridae,Accipitridae
Accipiter_collaris,0,0,100,0,0,0,0,0,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitridae
Accipiter_cooperii,0,0,100,0,0,0,0,0,Carnivore,Vertivore,Generalist,Accipitridae,Accipitridae
Accipiter_erythrauchen,0,0,100,0,0,0,0,0,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitridae
Accipiter_erythronemius,0,0,100,0,0,0,0,0,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitridae
Accipiter_erythropus,40,0,60,0,0,0,0,0,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitridae
Accipiter_fasciatus,20,0,70,10,0,0,0,0,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitridae
Accipiter_francesiae,60,0,40,0,0,0,0,0,Carnivore,Invertivore,Invertivore sally surface,Accipitridae,Accipitridae
Accipiter_gentilis,0,0,100,0,0,0,0,0,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitridae
Accipiter_griseiceps,20,0,80,0,0,0,0,0,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitridae
Accipiter_gularis,10,0,90,0,0,0,0,0,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitridae
Accipiter_gundlachi,0,0,100,0,0,0,0,0,Carnivore,Vertivore,Generalist,Accipitridae,Accipitridae
Accipiter_haplochrous,30,0,70,0,0,0,0,0,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitridae
Accipiter_henicogrammus,30,0,70,0,0,0,0,0,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitridae
Accipiter_henstii,0,0,100,0,0,0,0,0,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitridae
Accipiter_imitator,40,0,60,0,0,0,0,0,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitridae
Accipiter_luteoschistaceus,40,0,60,0,0,0,0,0,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitridae
Accipiter_madagascariensis,20,0,80,0,0,0,0,0,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitridae
Accipiter_melanochlamys,10,0,90,0,0,0,0,0,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitridae
Accipiter_melanoleucus,0,0,100,0,0,0,0,0,Carnivore,Vertivore,Generalist,Accipitridae,Accipitridae
Accipiter_meyerianus,0,0,100,0,0,0,0,0,Carnivore,Vertivore,Generalist,Accipitridae,Accipitridae
Accipiter_minullus,20,0,80,0,0,0,0,0,Carnivore,Vertivore,Vertivore aerial,Accipitridae,Accipitridae
Accipiter_nanus,70,0,30,0,0,0,0,0,Carnivore,Invertivore,Invertivore sally ground,Accipitridae,Accipitridae
Accipiter_nisus,0,0,100,0,0,0,0,0,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitridae
Accipiter_novaehollandiae,30,0,70,0,0,0,0,0,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitridae
Accipiter_ovampensis,0,0,100,0,0,0,0,0,Carnivore,Vertivore,Generalist,Accipitridae,Accipitridae
Accipiter_poliocephalus,20,0,80,0,0,0,0,0,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitridae
Accipiter_poliogaster,0,0,100,0,0,0,0,0,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitridae
Accipiter_princeps,30,0,70,0,0,0,0,0,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitridae
Accipiter_rhodogaster,20,0,80,0,0,0,0,0,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitridae
Accipiter_rufitorques,20,0,80,0,0,0,0,0,Carnivore,Vertivore,Generalist,Accipitridae,Accipitridae
Accipiter_rufiventris,10,0,90,0,0,0,0,0,Carnivore,Vertivore,Generalist,Accipitridae,Accipitridae
Accipiter_soloensis,10,0,90,0,0,0,0,0,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitridae
Accipiter_striatus,0,0,100,0,0,0,0,0,Carnivore,Vertivore,Generalist,Accipitridae,Accipitridae
Accipiter_superciliosus,0,0,100,0,0,0,0,0,Carnivore,Vertivore,Vertivore aerial,Accipitridae,Accipitridae
Accipiter_tachiro,10,0,90,0,0,0,0,0,Carnivore,Vertivore,Generalist,Accipitridae,Accipitridae
Accipiter_toussenelii,10,0,90,0,0,0,0,0,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitridae
Accipiter_trinotatus,20,0,80,0,0,0,0,0,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitridae
Accipiter_trivirgatus,20,0,80,0,0,0,0,0,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitridae
Accipiter_ventralis,0,0,100,0,0,0,0,0,Carnivore,Vertivore,Vertivore perch,Accipitridae,Accipitridae
Accipiter_virgatus,20,0,80,0,0,0,0,0,Carnivore,Vertivore,Generalist,Accipitridae,Accipitridae
Aceros_cassidix,0,0,0,0,0,100,0,0,Herbivore,Frugivore,Fugivore glean,Bucerotidae,Bucerotidae
Aceros_comatus,30,0,50,0,0,20,0,0,Carnivore,Omnivore,NA,Bucerotidae,Bucerotidae
Aceros_corrugatus,10,0,0,0,0,90,0,0,Herbivore,Frugivore,Fugivore glean,Bucerotidae,Bucerotidae
Aceros_everetti,0,0,0,0,0,100,0,0,Herbivore,Frugivore,Fugivore glean,Bucerotidae,Bucerotidae
Aceros_leucocephalus,20,0,0,0,0,80,0,0,Herbivore,Frugivore,Fugivore glean,Bucerotidae,Bucerotidae
Aceros_narcondami,0,0,0,0,0,100,0,0,Herbivore,Frugivore,Fugivore glean,Bucerotidae,Bucerotidae
Aceros_nipalensis,0,0,0,0,0,100,0,0,Herbivore,Frugivore,Fugivore glean,Bucerotidae,Bucerotidae
Aceros_plicatus,20,0,0,0,0,80,0,0,Herbivore,Frugivore,Fugivore glean,Bucerotidae,Bucerotidae
Aceros_subruficollis,0,0,0,0,0,100,0,0,Herbivore,Frugivore,Fugivore glean,Bucerotidae,Bucerotidae
Aceros_undulatus,10,0,0,0,0,90,0,0,Herbivore,Frugivore,Fugivore glean,Bucerotidae,Bucerotidae
Aceros_waldeni,0,0,0,0,0,100,0,0,Herbivore,Frugivore,Fugivore glean,Bucerotidae,Bucerotidae
Achaetops_pycnopygius,80,0,0,0,0,10,10,0,Carnivore,Invertivore,Invertivore glean arboreal,Sylviidae,Macrosphenidae
Acridotheres_albocinctus,40,0,10,0,10,20,20,0,Omnivore,Omnivore,NA,Sturnidae,Sturnidae
Acridotheres_cinereus,50,0,0,0,0,50,0,0,Omnivore,Omnivore,NA,Sturnidae,Sturnidae
Acridotheres_cristatellus,50,0,0,10,0,40,0,0,Omnivore,Omnivore,NA,Sturnidae,Sturnidae
Acridotheres_fuscus,40,0,0,0,10,30,20,0,Omnivore,Omnivore,NA,Sturnidae,Sturnidae
Acridotheres_ginginianus,40,0,10,0,10,20,20,0,Omnivore,Omnivore,NA,Sturnidae,Sturnidae
Acridotheres_grandis,60,0,0,0,0,20,20,0,Omnivore,Invertivore,Invertivore ground,Sturnidae,Sturnidae
Acridotheres_tristis,40,10,20,0,10,10,10,0,Carnivore,Omnivore,NA,Sturnidae,Sturnidae
Acrobatornis_fonsecai,100,0,0,0,0,0,0,0,Carnivore,Invertivore,Invertivore glean arboreal,Furnariidae,Furnariidae
Acrocephalus_aedon,100,0,0,0,0,0,0,0,Carnivore,Invertivore,Invertivore glean arboreal,Sylviidae,Acrocephalidae
Acrocephalus_aequinoctialis,80,0,20,0,0,0,0,0,Carnivore,Invertivore,Invertivore ground,Sylviidae,Acrocephalidae
Acrocephalus_agricola,80,20,0,0,0,0,0,0,Carnivore,Invertivore,Invertivore glean arboreal,Sylviidae,Acrocephalidae
Acrocephalus_arundinaceus,60,10,20,0,0,10,0,0,Carnivore,Invertivore,Invertivore glean arboreal,Sylviidae,Acrocephalidae
Acrocephalus_atyphus,70,0,20,0,0,0,0,10,Carnivore,Invertivore,Invertivore glean arboreal,Sylviidae,Acrocephalidae
Acrocephalus_australis,100,0,0,0,0,0,0,0,Carnivore,Invertivore,Invertivore glean arboreal,Sylviidae,Acrocephalidae
Acrocephalus_baeticatus,100,0,0,0,0,0,0,0,Carnivore,Invertivore,Invertivore glean arboreal,Sylviidae,Acrocephalidae
Acrocephalus_bistrigiceps,100,0,0,0,0,0,0,0,Carnivore,Invertivore,Invertivore glean arboreal,Sylviidae,Acrocephalidae
Acrocephalus_brevipennis,90,0,0,0,0,10,0,0,Carnivore,Invertivore,Invertivore glean arboreal,Sylviidae,Acrocephalidae
Acrocephalus_caffer,70,10,10,0,10,0,0,0,Carnivore,Invertivore,Invertivore glean arboreal,Sylviidae,Acrocephalidae
Acrocephalus_concinens,100,0,0,0,0,0,0,0,Carnivore,Invertivore,Invertivore glean arboreal,Sylviidae,Acrocephalidae
Acrocephalus_dumetorum,90,0,0,0,0,0,10,0,Carnivore,Invertivore,Invertivore glean arboreal,Sylviidae,Acrocephalidae
Acrocephalus_familiaris,90,0,0,0,0,0,10,0,Carnivore,Invertivore,Invertivore glean arboreal,Sylviidae,Acrocephalidae
Acrocephalus_gracilirostris,70,10,20,0,0,0,0,0,Carnivore,Invertivore,Invertivore glean arboreal,Sylviidae,Acrocephalidae
Acrocephalus_griseldis,60,10,20,0,0,10,0,0,Carnivore,Invertivore,Invertivore glean arboreal,Sylviidae,Acrocephalidae
Acrocephalus_kerearako,100,0,0,0,0,0,0,0,Carnivore,Invertivore,Invertivore glean arboreal,Sylviidae,Acrocephalidae
Acrocephalus_luscinius,80,0,20,0,0,0,0,0,Carnivore,Invertivore,Invertivore ground,Sylviidae,Acrocephalidae
Acrocephalus_melanopogon,80,10,0,0,0,10,0,0,Carnivore,Invertivore,Invertivore glean arboreal,Sylviidae,Acrocephalidae
Acrocephalus_newtoni,100,0,0,0,0,0,0,0,Carnivore,Invertivore,Invertivore glean arboreal,Sylviidae,Acrocephalidae
Acrocephalus_orinus,80,0,10,0,0,0,10,0,Carnivore,Invertivore,Invertivore glean arboreal,Sylviidae,Acrocephalidae
Acrocephalus_paludicola,100,0,0,0,0,0,0,0,Carnivore,Invertivore,Invertivore glean arboreal,Sylviidae,Acrocephalidae
Acrocephalus_palustris,80,0,0,0,0,20,0,0,Carnivore,Invertivore,Invertivore glean arboreal,Sylviidae,Acrocephalidae
Acrocephalus_rehsei,100,0,0,0,0,0,0,0,Carnivore,Invertivore,Invertivore glean arboreal,Sylviidae,Acrocephalidae
Acrocephalus_rimatarae,90,0,10,0,0,0,0,0,Carnivore,Invertivore,Invertivore glean arboreal,Sylviidae,Acrocephalidae
Acrocephalus_rodericanus,100,0,0,0,0,0,0,0,Carnivore,Invertivore,Invertivore glean arboreal,Sylviidae,Acrocephalidae
Acrocephalus_rufescens,80,0,20,0,0,0,0,0,Carnivore,Invertivore,Invertivore glean arboreal,Sylviidae,Acrocephalidae
Acrocephalus_schoenobaenus,70,0,0,0,0,10,10,10,Carnivore,Invertivore,Invertivore glean arboreal,Sylviidae,Acrocephalidae
Acrocephalus_scirpaceus,70,0,0,0,0,10,10,10,Carnivore,Invertivore,Invertivore glean arboreal,Sylviidae,Acrocephalidae
Acrocephalus_sechellensis,90,0,10,0,0,0,0,0,Carnivore,Invertivore,Invertivore glean arboreal,Sylviidae,Acrocephalidae
Acrocephalus_sorghophilus,80,0,0,0,0,0,20,0,Carnivore,Invertivore,Invertivore glean arboreal,Sylviidae,Acrocephalidae
Acrocephalus_stentoreus,70,10,10,0,0,0,10,0,Carnivore,Invertivore,Invertivore glean arboreal,Sylviidae,Acrocephalidae
Acrocephalus_syrinx,90,0,10,0,0,0,0,0,Carnivore,Invertivore,Invertivore ground,Sylviidae,Acrocephalidae
Acrocephalus_taiti,80,0,0,0,0,10,10,0,Carnivore,Invertivore,Invertivore glean arboreal,Sylviidae,Acrocephalidae
Acrocephalus_tangorum,90,0,10,0,0,0,0,0,Carnivore,Invertivore,Invertivore glean arboreal,Sylviidae,Acrocephalidae
Acrocephalus_vaughani,100,0,0,0,0,0,0,0,Carnivore,Invertivore,Invertivore glean arboreal,Sylviidae,Acrocephalidae
Acropternis_orthonyx,80,0,0,0,0,0,0,20,Carnivore,Invertivore,Invertivore glean arboreal,Rhinocryptidae,Rhinocryptidae
Acryllium_vulturinum,20,0,0,0,0,20,30,30,Herbivore,Omnivore,NA,Numididae,Numididae
Actenoides_bougainvillei,60,0,40,0,0,0,0,0,Carnivore,Invertivore,Invertivore sally ground,Alcedinidae,Alcedinidae
Actenoides_concretus,60,20,20,0,0,0,0,0,Carnivore,Invertivore,Invertivore sally ground,Alcedinidae,Alcedinidae
Actenoides_hombroni,70,10,20,0,0,0,0,0,Carnivore,Invertivore,Invertivore sally ground,Alcedinidae,Alcedinidae
Actenoides_lindsayi,80,0,20,0,0,0,0,0,Carnivore,Invertivore,Invertivore sally ground,Alcedinidae,Alcedinidae
Actenoides_monachus,100,0,0,0,0,0,0,0,Carnivore,Invertivore,Invertivore sally ground,Alcedinidae,Alcedinidae
Actenoides_princeps,100,0,0,0,0,0,0,0,Carnivore,Invertivore,Invertivore sally ground,Alcedinidae,Alcedinidae
Actinodura_egertoni,60,0,0,0,0,20,20,0,Omnivore,Invertivore,Invertivore glean arboreal,Timaliidae,Leiothrichidae
Actinodura_morrisoniana,80,0,0,0,0,10,10,0,Carnivore,Invertivore,Invertivore glean arboreal,Timaliidae,Leiothrichidae
Actinodura_nipalensis,60,0,0,0,10,10,10,10,Omnivore,Invertivore,Invertivore glean arboreal,Timaliidae,Leiothrichidae
Actinodura_ramsayi,80,0,0,0,0,0,0,20,Carnivore,Invertivore,Invertivore glean arboreal,Timaliidae,Leiothrichidae
Actinodura_sodangorum,100,0,0,0,0,0,0,0,Carnivore,Invertivore,Invertivore glean arboreal,Timaliidae,Leiothrichidae
Actinodura_souliei,100,0,0,0,0,0,0,0,Carnivore,Invertivore,Invertivore glean arboreal,Timaliidae,Leiothrichidae
Actinodura_waldeni,40,0,0,0,0,30,10,20,Omnivore,Omnivore,NA,Timaliidae,Leiothrichidae
Actitis_hypoleucos,10,80,0,0,0,0,0,10,Carnivore,Aquatic predator,Aquatic ground,Scolopacidae,Scolopacidae
Actitis_macularius,20,80,0,0,0,0,0,0,Carnivore,Aquatic predator,Aquatic ground,Scolopacidae,Scolopacidae
Actophilornis_africanus,0,80,0,0,0,0,0,20,Carnivore,Aquatic predator,Aquatic ground,Jacanidae,Jacanidae
Actophilornis_albinucha,0,80,0,0,0,0,0,20,Carnivore,Aquatic predator,Aquatic ground,Jacanidae,Jacanidae
Adelomyia_melanogenys,10,0,0,0,90,0,0,0,Herbivore,Nectarivore,Nectarivore aerial,Trochilidae,Trochilidae
Aechmophorus_clarkii,0,100,0,0,0,0,0,0,Carnivore,Aquatic predator,Aquatic dive,Podicipedidae,Podicipedidae
Aechmophorus_occidentalis,0,100,0,0,0,0,0,0,Carnivore,Aquatic predator,Aquatic dive,Podicipedidae,Podicipedidae
Aegithalos_caudatus,70,0,0,0,0,10,10,10,Carnivore,Invertivore,Invertivore glean arboreal,Aegithalidae,Aegithalidae
Aegithalos_concinnus,80,0,0,0,0,10,10,0,Carnivore,Invertivore,Invertivore glean arboreal,Aegithalidae,Aegithalidae
Aegithalos_fuliginosus,80,0,0,0,0,20,0,0,Carnivore,Invertivore,Invertivore glean arboreal,Aegithalidae,Aegithalidae
Aegithalos_iouschistos,90,0,0,0,0,0,0,10,Carnivore,Invertivore,Invertivore glean arboreal,Aegithalidae,Aegithalidae
Aegithalos_leucogenys,100,0,0,0,0,0,0,0,Carnivore,Invertivore,Invertivore glean arboreal,Aegithalidae,Aegithalidae
Aegithalos_niveogularis,80,0,0,0,0,0,0,20,Carnivore,Invertivore,Invertivore glean arboreal,Aegithalidae,Aegithalidae
Aegithina_lafresnayei,100,0,0,0,0,0,0,0,Carnivore,Invertivore,Invertivore glean arboreal,Aegithinidae,Aegithinidae
Aegithina_nigrolutea,100,0,0,0,0,0,0,0,Carnivore,Invertivore,Invertivore glean arboreal,Aegithinidae,Aegithinidae
Aegithina_tiphia,100,0,0,0,0,0,0,0,Carnivore,Invertivore,Invertivore glean arboreal,Aegithinidae,Aegithinidae
Aegithina_viridissima,100,0,0,0,0,0,0,0,Carnivore,Invertivore,Invertivore glean arboreal,Aegithinidae,Aegithinidae
Aegolius_acadicus,10,0,90,0,0,0,0,0,Carnivore,Vertivore,Vertivore perch,Strigidae,Strigidae
Aegolius_funereus,10,0,90,0,0,0,0,0,Carnivore,Vertivore,Vertivore perch,Strigidae,Strigidae
Aegolius_harrisii,40,0,60,0,0,0,0,0,Carnivore,Vertivore,Vertivore perch,Strigidae,Strigidae
Aegolius_ridgwayi,20,0,80,0,0,0,0,0,Carnivore,Vertivore,Vertivore perch,Strigidae,Strigidae
Aegotheles_albertisi,100,0,0,0,0,0,0,0,Carnivore,Invertivore,Generalist,Aegothelidae,Aegothelidae
Aegotheles_archboldi,100,0,0,0,0,0,0,0,Carnivore,Invertivore,Generalist,Aegothelidae,Aegothelidae
Aegotheles_bennettii,100,0,0,0,0,0,0,0,Carnivore,Invertivore,Generalist,Aegothelidae,Aegothelidae
Aegotheles_crinifrons,100,0,0,0,0,0,0,0,Carnivore,Invertivore,Generalist,Aegothelidae,Aegothelidae
Aegotheles_cristatus,100,0,0,0,0,0,0,0,Carnivore,Invertivore,Generalist,Aegothelidae,Aegothelidae
Aegotheles_insignis,100,0,0,0,0,0,0,0,Carnivore,Invertivore,Generalist,Aegothelidae,Aegothelidae
Aegotheles_savesi,100,0,0,0,0,0,0,0,Carnivore,Invertivore,Generalist,Aegothelidae,Aegothelidae
Aegotheles_tatei,100,0,0,0,0,0,0,0,Carnivore,Invertivore,Generalist,Aegothelidae,Aegothelidae
Aegotheles_wallacii,100,0,0,0,0,0,0,0,Carnivore,Invertivore,Generalist,Aegothelidae,Aegothelidae
Aegypius_monachus,0,0,0,100,0,0,0,0,Scavenger,Scavenger,Scavenger ground,Accipitridae,Accipitridae
Aenigmatolimnas_marginalis,20,80,0,0,0,0,0,0,Carnivore,Aquatic predator,Aquatic ground,Rallidae,Rallidae
